類目代碼,類目名稱,說明,是否隱藏
6001018021,屏東縣林邊鄉,,否
6001018022,屏東縣東港鎮,,否
6001018023,屏東縣琉球鄉,,否
6001018024,屏東縣佳冬鄉,,否
6001018025,屏東縣新園鄉,,否
6001018026,屏東縣枋寮鄉,,否
6001018027,屏東縣枋山鄉,,否
6001018028,屏東縣春日鄉,,否
6001018029,屏東縣獅子鄉,,否
6001018030,屏東縣車城鄉,,否
6001018031,屏東縣牡丹鄉,,否
6001018032,屏東縣恆春鎮,,否
6001018033,屏東縣滿州鄉,,否
6001019000,台東縣,,否
6001019001,台東縣台東市,,否
6001019002,台東縣綠島鄉,,否
6001019003,台東縣蘭嶼鄉,,否
6001019004,台東縣延平鄉,,否
6001019005,台東縣卑南鄉,,否
6001019006,台東縣鹿野鄉,,否
6001019007,台東縣關山鎮,,否
6001019008,台東縣海端鄉,,否
6001019009,台東縣池上鄉,,否
6001019010,台東縣東河鄉,,否
6001019011,台東縣成功鎮,,否
6001019012,台東縣長濱鄉,,否
6001019013,台東縣太麻里鄉,,否
6001019014,台東縣金峰鄉,,否
6001019015,台東縣大武鄉,,否
6001019016,台東縣達仁鄉,,否
6001020000,花蓮縣,,否
6001020001,花蓮縣花蓮市,,否
6001020002,花蓮縣新城鄉,,否
6001020003,花蓮縣秀林鄉,,否
6001020004,花蓮縣吉安鄉,,否
6001020005,花蓮縣壽豐鄉,,否
6001020006,花蓮縣鳳林鎮,,否
6001020007,花蓮縣光復鄉,,否
6001020008,花蓮縣豐濱鄉,,否
6001020009,花蓮縣瑞穗鄉,,否
6001020010,花蓮縣萬榮鄉,,否
6001020011,花蓮縣玉里鎮,,否
6001020012,花蓮縣卓溪鄉,,否
6001020013,花蓮縣富里鄉,,否
6001021000,澎湖縣,,否
6001021001,澎湖縣馬公市,,否
6001021002,澎湖縣西嶼鄉,,否
6001021003,澎湖縣望安鄉,,否
6001021004,澎湖縣七美鄉,,否
6001021005,澎湖縣白沙鄉,,否
6001021006,澎湖縣湖西鄉,,否
6001022000,金門縣,,否
6001022001,金門縣金沙鎮,,否
6001022002,金門縣金湖鎮,,否
6001022003,金門縣金寧鄉,,否
6001022004,金門縣金城鎮,,否
6001022005,金門縣烈嶼鄉,,否
6001022006,金門縣烏坵鄉,,否
6001023000,連江縣,,否
6001023001,連江縣南竿鄉,,否
6001023002,連江縣北竿鄉,,否
6001023003,連江縣莒光鄉,,否
6001023004,連江縣東引鄉,,否
6002001000,北京市,,否
6002001001,北京市,,否
6002002000,天津市,,否
6002002001,天津市,,否
6002003000,上海市,,否
6002003001,上海市,,否
6002004000,重慶市,,否
6002004001,重慶市,,否
6002005000,廣東省,,否
6002005001,廣東省廣州市,,否
6002005002,廣東省韶關市,,否
6002005003,廣東省深圳市,,否
6002005004,廣東省珠海市,,否
6002005005,廣東省汕頭市,,否
6002005006,廣東省佛山市,,否
6002005007,廣東省江門市,,否
6002005008,廣東省湛江市,,否
6002005009,廣東省茂名市,,否
